season,date,age,team_played,game_type,venue,opponent,win_lose,point_difference,game_started,minutes_played,fieldgoal,fieldgoal_attempts,fieldgoal_percent,3pointers,3pointers_attempts,3pointers_percent,freethrows,freethrows_attempt,freethrow_percent,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
2,12/19/1997,19,los angeles lakers,season,home,atlanta hawks,w,2,0,30:52,7,16,0.438,1,4,0.25,4,6,0.667,1,1,2,1,3,0,2,2,19
2,12/20/1997,19,los angeles lakers,season,home,charlotte hornets,w,9,0,26:28,5,14,0.357,1,3,0.333,2,2,1,1,0,1,1,0,0,1,3,13
2,12/22/1997,19,los angeles lakers,season,home,houston rockets,w,11,0,26:28,6,13,0.462,2,4,0.5,5,6,0.833,2,3,5,0,2,1,2,3,19
2,12/26/1997,19,los angeles lakers,season,away,los angeles clippers,w,4,0,26:56,7,15,0.467,2,5,0.4,0,1,0,0,1,1,2,0,1,1,4,16
2,12/28/1997,19,los angeles lakers,season,away,boston celtics,l,-6,0,25:38,5,11,0.455,0,2,0,7,10,0.7,0,0,0,1,2,1,2,4,17
2,12/30/1997,19,los angeles lakers,season,away,sacramento kings,w,13,0,28:21,4,10,0.4,0,1,0,4,6,0.667,0,4,4,1,0,1,2,2,12
2,1/2/1998,19,los angeles lakers,season,away,atlanta hawks,w,10,0,24:05,5,8,0.625,2,3,0.667,0,0,,1,2,3,4,2,0,3,1,12
2,1/4/1998,19,los angeles lakers,season,away,philadelphia 76ers,l,-6,0,31:28,6,18,0.333,1,3,0.333,7,11,0.636,2,4,6,4,2,0,0,5,20
2,1/6/1998,19,los angeles lakers,season,home,vancouver grizzlies,w,13,0,24:32,6,10,0.6,1,1,1,3,3,1,1,1,2,2,2,0,1,1,16
2,1/7/1998,19,los angeles lakers,season,away,milwaukee bucks,w,12,0,20:09,4,7,0.571,0,1,0,9,10,0.9,1,1,2,2,2,1,3,2,17
2,1/9/1998,19,los angeles lakers,season,home,los angeles clippers,w,10,0,26:43,4,11,0.364,0,2,0,7,7,1,0,0,0,2,2,1,1,3,15
2,1/11/1998,19,los angeles lakers,season,away,charlotte hornets,l,-5,0,14:22,3,9,0.333,0,2,0,0,0,,0,2,2,1,0,0,1,1,6
2,1/14/1998,19,los angeles lakers,season,away,denver nuggets,w,18,0,23:06,3,8,0.375,1,3,0.333,7,8,0.875,1,2,3,5,0,0,2,1,14
2,1/17/1998,19,los angeles lakers,season,away,miami heat,w,9,0,26:47,6,9,0.667,1,2,0.5,8,9,0.889,3,2,5,2,0,0,4,4,21
2,1/19/1998,19,los angeles lakers,season,away,orlando magic,w,3,0,31:02,4,7,0.571,1,2,0.5,7,7,1,1,1,2,1,1,1,1,0,16
2,1/21/1998,19,los angeles lakers,season,home,phoenix suns,w,10,0,34:22,7,12,0.583,3,4,0.75,8,10,0.8,1,4,5,3,0,1,2,3,25
2,1/24/1998,19,los angeles lakers,season,home,seattle supersonics,l,-6,0,33:19,6,14,0.429,1,4,0.25,5,8,0.625,1,3,4,0,0,1,3,5,18
2,1/28/1998,19,los angeles lakers,season,away,new jersey nets,l,-11,0,34:38,10,19,0.526,0,3,0,6,8,0.75,3,2,5,0,0,0,2,3,26
2,1/30/1998,19,los angeles lakers,season,away,minnesota timberwolves,w,7,0,29:58,7,16,0.438,2,3,0.667,6,9,0.667,2,1,3,7,0,0,4,4,22
2,2/1/1998,19,los angeles lakers,season,away,chicago bulls,w,25,0,26:21,7,16,0.438,2,6,0.333,4,7,0.571,0,4,4,1,2,0,1,4,20
2,2/4/1998,19,los angeles lakers,season,away,portland trailbrazers,w,7,0,28:36,6,10,0.6,1,2,0.5,13,13,1,1,3,4,4,3,1,1,4,26
2,2/10/1998,19,los angeles lakers,season,home,portland trailbrazers,l,-12,1,30:02,6,13,0.462,2,3,0.667,3,5,0.6,2,2,4,2,1,1,1,4,17
2,2/11/1998,19,los angeles lakers,season,away,golden state warriors,w,6,0,22:22,5,11,0.455,0,0,,1,2,0.5,2,3,5,0,0,0,4,1,11
2,2/13/1998,19,los angeles lakers,season,away,seattle supersonics,l,-5,0,40:45,4,13,0.308,0,4,0,7,7,1,1,2,3,6,0,1,1,1,15
2,2/15/1998,19,los angeles lakers,season,away,houston rockets,l,-2,0,33:09,8,15,0.533,2,5,0.4,0,0,,2,0,2,0,1,0,2,2,18
2,2/18/1998,19,los angeles lakers,season,home,phoenix suns,l,-7,0,24:01,3,8,0.375,0,1,0,2,2,1,1,3,4,4,2,0,4,3,8
2,2/19/1998,19,los angeles lakers,season,away,denver nuggets,w,39,0,34:43,7,10,0.7,0,0,,7,8,0.875,1,3,4,7,0,0,0,1,21
2,2/22/1998,19,los angeles lakers,season,home,orlando magic,l,-2,0,36:43,6,15,0.4,2,3,0.667,4,5,0.8,0,3,3,4,2,0,2,1,18
2,2/24/1998,19,los angeles lakers,season,home,milwaukee bucks,w,17,0,24:41,3,12,0.25,1,1,1,5,5,1,1,4,5,2,0,0,1,2,12
2,2/25/1998,19,los angeles lakers,season,home,indian pacers,w,7,0,22:33,1,8,0.125,0,0,,6,6,1,2,1,3,2,1,0,6,3,8
2,2/27/1998,19,los angeles lakers,season,home,minnesota timberwolves,w,13,0,25:59,4,12,0.333,1,4,0.25,5,6,0.833,0,3,3,4,1,1,2,2,14
2,3/1/1998,19,los angeles lakers,season,home,new york knicks,l,-12,0,26:35,4,15,0.267,1,5,0.2,5,5,1,1,4,5,0,0,0,1,5,14
2,3/2/1998,19,los angeles lakers,season,home,washington wizards,l,-10,0,12:21,2,7,0.286,0,1,0,0,0,,0,1,1,1,0,0,1,0,4
2,3/4/1998,19,los angeles lakers,season,away,indian pacers,w,9,0,21:22,3,8,0.375,0,0,,9,14,0.643,1,2,3,1,0,0,4,3,15
2,3/6/1998,19,los angeles lakers,season,away,san antonio spurs,w,7,0,21:20,1,6,0.167,0,2,0,5,6,0.833,0,1,1,2,1,2,1,0,7
2,3/8/1998,19,los angeles lakers,season,away,detroit pistons,w,7,0,18:37,2,7,0.286,0,2,0,0,0,,1,2,3,0,1,0,1,0,4
2,3/11/1998,19,los angeles lakers,season,away,portland trailbrazers,w,14,0,20:09,4,10,0.4,1,2,0.5,4,5,0.8,1,1,2,2,0,0,1,2,13
2,3/12/1998,19,los angeles lakers,season,home,los angeles clippers,w,23,0,11:41,2,9,0.222,1,2,0.5,1,2,0.5,0,3,3,1,0,0,4,1,6
2,3/15/1998,19,los angeles lakers,season,home,vancouver grizzlies,w,9,0,25:16,4,7,0.571,1,1,1,4,7,0.571,1,2,3,5,0,2,1,0,13
2,3/16/1998,19,los angeles lakers,season,home,seattle supersonics,l,-12,0,13:57,0,1,0,0,1,0,0,0,,0,0,0,2,0,0,1,2,0
2,3/18/1998,19,los angeles lakers,season,away,phoenix suns,w,6,0,27:48,1,10,0.1,0,3,0,8,9,0.889,1,2,3,6,0,3,1,1,10
2,3/20/1998,19,los angeles lakers,season,away,seattle supersonics,w,13,0,17:58,3,7,0.429,2,3,0.667,8,8,1,1,0,1,2,2,0,2,1,16
2,3/22/1998,19,los angeles lakers,season,home,sacramento kings,w,3,0,25:19,2,9,0.222,0,2,0,8,12,0.667,3,3,6,3,0,0,2,5,12
2,3/23/1998,19,los angeles lakers,season,home,denver nuggets,w,21,0,32:07,8,12,0.667,2,4,0.5,5,5,1,0,3,3,3,2,0,2,1,23
2,3/25/1998,19,los angeles lakers,season,away,sacramento kings,w,23,0,21:13,3,7,0.429,1,3,0.333,4,5,0.8,1,0,1,3,0,0,5,2,11
2,3/28/1998,19,los angeles lakers,season,home,utah jazz,l,-15,0,26:53,0,4,0,0,2,0,2,2,1,0,0,0,3,4,1,2,1,2
2,3/29/1998,19,los angeles lakers,season,away,washington wizards,w,27,0,22:35,5,12,0.417,0,1,0,5,5,1,1,4,5,2,0,1,1,1,15
2,3/31/1998,19,los angeles lakers,season,home,toronto rapters,w,9,0,25:27,7,13,0.538,2,4,0.5,1,1,1,1,1,2,5,1,1,3,2,17
2,4/2/1998,19,los angeles lakers,season,home,new jersey nets,w,11,0,25:08,7,11,0.636,1,2,0.5,5,9,0.556,1,3,4,2,1,0,2,4,20
2,4/3/1998,19,los angeles lakers,season,home,cleveland cavaliers,w,12,0,23:03,3,8,0.375,1,2,0.5,0,0,,0,1,1,5,1,0,3,4,7
2,4/5/1998,19,los angeles lakers,season,home,detroit pistons,w,2,0,27:01,2,11,0.182,0,4,0,2,2,1,2,1,3,1,2,2,1,4,6
